%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
2019 355 15 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.30000 80.84 -0.40 103.10 9.00 67.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 66.00 4.00 -999.00
2019 355 15 30 -999.00 -999.00 -999.00 -999.00 -999.00 0.50000 83.23 -0.80 103.10 9.00 45.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 45.00 2.00 -999.00
2019 355 16 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.60000 80.65 -1.30 103.00 9.00 19.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 19.00 0.00 -999.00
2019 355 16 30 -999.00 -999.00 -999.00 -999.00 -999.00 0.70000 82.44 -1.60 103.00 9.00 4.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 4.00 23.00 -999.00
2019 355 17 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.80000 81.93 -1.90 103.00 8.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2019 355 17 30 -999.00 -999.00 -999.00 -999.00 -999.00 0.80000 82.54 -2.00 103.00 8.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2019 355 18 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.80000 83.78 -2.10 103.00 8.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2019 355 18 30 -999.00 -999.00 -999.00 -999.00 -999.00 0.80000 83.78 -2.10 103.00 8.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2019 355 19 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.90000 85.97 -2.30 103.00 9.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2019 355 19 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.00000 86.61 -2.40 103.00 9.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2019 355 20 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.10000 88.14 -2.50 103.00 9.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2019 355 20 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.10000 89.45 -2.70 103.00 9.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2019 355 21 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.20000 90.69 -2.90 102.90 9.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2019 355 21 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.30000 92.74 -3.20 102.90 9.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
