%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
2020 80 15 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.50000 84.56 18.20 100.70 35.00 515.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 97.00 765.00 -999.00
2020 80 15 30 -999.00 -999.00 -999.00 -999.00 -999.00 3.50000 85.09 18.10 100.70 34.00 425.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 93.00 702.00 -999.00
2020 80 16 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.40000 86.07 18.00 100.70 33.00 96.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 65.00 78.00 -999.00
2020 80 16 30 -999.00 -999.00 -999.00 -999.00 -999.00 3.20000 87.24 17.80 100.80 32.00 142.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 46.00 316.00 -999.00
2020 80 17 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.00000 89.31 17.60 100.80 31.00 120.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 66.00 258.00 -999.00
2020 80 17 30 -999.00 -999.00 -999.00 -999.00 -999.00 2.80000 91.01 17.30 100.80 30.00 33.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 32.00 10.00 -999.00
2020 80 18 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.60000 91.29 17.10 100.80 29.00 7.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 7.00 0.00 -999.00
2020 80 18 30 -999.00 -999.00 -999.00 -999.00 -999.00 2.60000 91.29 17.10 100.80 29.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 80 19 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.40000 91.23 16.80 100.90 27.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 80 19 30 -999.00 -999.00 -999.00 -999.00 -999.00 2.30000 92.98 16.50 100.90 27.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 80 20 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.30000 90.81 16.30 101.00 26.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 80 20 30 -999.00 -999.00 -999.00 -999.00 -999.00 2.20000 92.56 16.00 101.00 27.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 80 21 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.10000 90.42 15.70 101.10 27.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 80 21 30 -999.00 -999.00 -999.00 -999.00 -999.00 2.20000 93.36 15.20 101.10 27.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 80 22 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.30000 89.02 14.70 101.20 27.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 80 22 30 -999.00 -999.00 -999.00 -999.00 -999.00 2.80000 95.57 13.60 101.20 25.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 80 23 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.30000 83.81 12.60 101.30 24.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 80 23 30 -999.00 -999.00 -999.00 -999.00 -999.00 3.40000 90.77 11.40 101.40 23.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 81 0 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.60000 78.17 10.20 101.50 22.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 81 0 30 -999.00 -999.00 -999.00 -999.00 -999.00 3.50000 83.02 9.30 101.50 21.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 81 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.40000 76.57 8.50 101.60 20.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 81 1 30 -999.00 -999.00 -999.00 -999.00 -999.00 3.50000 80.28 7.80 101.60 20.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 81 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.50000 75.60 7.10 101.70 20.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 81 2 30 -999.00 -999.00 -999.00 -999.00 -999.00 3.70000 79.32 6.40 101.70 19.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 81 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.90000 73.14 5.80 101.70 18.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 81 3 30 -999.00 -999.00 -999.00 -999.00 -999.00 3.80000 76.32 5.20 101.80 17.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 81 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.70000 73.14 4.60 101.90 16.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 81 4 30 -999.00 -999.00 -999.00 -999.00 -999.00 3.50000 75.74 4.10 101.90 15.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 81 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.30000 74.38 3.70 102.00 14.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 81 5 30 -999.00 -999.00 -999.00 -999.00 -999.00 3.20000 74.98 3.60 102.10 13.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 81 6 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.20000 73.89 3.40 102.20 12.00 4.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 4.00 0.00 -999.00
2020 81 6 30 -999.00 -999.00 -999.00 -999.00 -999.00 3.30000 73.96 3.40 102.30 12.00 24.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 24.00 0.00 -999.00
2020 81 7 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.40000 70.72 3.50 102.30 11.00 50.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 50.00 2.00 -999.00
2020 81 7 30 -999.00 -999.00 -999.00 -999.00 -999.00 3.50000 69.31 3.80 102.40 10.00 84.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 75.00 31.00 -999.00
2020 81 8 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.60000 65.58 4.00 102.40 10.00 206.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 133.00 195.00 -999.00
2020 81 8 30 -999.00 -999.00 -999.00 -999.00 -999.00 3.70000 62.01 4.80 102.40 9.00 192.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 175.00 38.00 -999.00
2020 81 9 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.70000 57.34 5.50 102.50 9.00 359.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 219.00 261.00 -999.00
2020 81 9 30 -999.00 -999.00 -999.00 -999.00 -999.00 3.60000 55.01 6.10 102.50 8.00 456.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 248.00 346.00 -999.00
2020 81 10 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.50000 51.08 6.70 102.50 8.00 534.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 258.00 419.00 -999.00
2020 81 10 30 -999.00 -999.00 -999.00 -999.00 -999.00 3.30000 49.03 7.30 102.50 8.00 624.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 224.00 569.00 -999.00
2020 81 11 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.10000 47.38 7.80 102.50 7.00 719.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 174.00 741.00 -999.00
2020 81 11 30 -999.00 -999.00 -999.00 -999.00 -999.00 2.80000 45.80 8.30 102.50 7.00 828.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 84.00 983.00 -999.00
2020 81 12 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.50000 45.20 8.70 102.50 7.00 838.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 84.00 986.00 -999.00
2020 81 12 30 -999.00 -999.00 -999.00 -999.00 -999.00 2.30000 44.30 9.00 102.50 7.00 831.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 84.00 984.00 -999.00
2020 81 13 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.00000 44.04 9.30 102.40 7.00 809.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 84.00 978.00 -999.00
